epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.77874,2.41049,4.59171,1.40265,0.0004,0.00075,0,0,1.76755,4.3661,1.10734,0.000222133,0.000222133,0.000222133
2,7.6087,2.09049,4.30758,1.2411,0.00515,0.0079,0.00024,3e-05,1.81979,4.33328,1.11897,0.00040084,0.00040084,0.00040084
3,11.4273,1.98936,3.95246,1.13226,0.00894,0.02529,0.01965,0.00419,1.84574,4.27678,1.1159,0.00046959,0.00046959,0.00046959
4,15.2403,2.01366,3.74874,1.12265,0.02286,0.06872,0.02127,0.00642,1.82774,4.21196,1.10193,0.000338198,0.000338198,0.000338198
5,18.6578,1.88883,3.66166,1.1082,0.02415,0.14694,0.02524,0.0078,1.70398,4.09196,1.0428,0.000173264,0.000173264,0.000173264
